absolute_path,relative_path,class_label
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset_clone\leopard_0000.jpeg,dataset_clone\leopard_0000.jpeg,leopard
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset_clone\leopard_0001.jpeg,dataset_clone\leopard_0001.jpeg,leopard
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset_clone\leopard_0002.jpeg,dataset_clone\leopard_0002.jpeg,leopard
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset_clone\leopard_0003.jpeg,dataset_clone\leopard_0003.jpeg,leopard
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset_clone\leopard_0004.jpeg,dataset_clone\leopard_0004.jpeg,leopard
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset_clone\leopard_0005.jpeg,dataset_clone\leopard_0005.jpeg,leopard
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset_clone\leopard_0006.jpeg,dataset_clone\leopard_0006.jpeg,leopard
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset_clone\leopard_0007.jpeg,dataset_clone\leopard_0007.jpeg,leopard
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset_clone\leopard_0008.jpeg,dataset_clone\leopard_0008.jpeg,leopard
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset_clone\leopard_0009.jpeg,dataset_clone\leopard_0009.jpeg,leopard
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset_clone\leopard_0010.jpeg,dataset_clone\leopard_0010.jpeg,leopard
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset_clone\leopard_0011.jpeg,dataset_clone\leopard_0011.jpeg,leopard
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset_clone\leopard_0012.jpeg,dataset_clone\leopard_0012.jpeg,leopard
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset_clone\leopard_0013.jpeg,dataset_clone\leopard_0013.jpeg,leopard
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset_clone\leopard_0014.jpeg,dataset_clone\leopard_0014.jpeg,leopard
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset_clone\leopard_0015.jpeg,dataset_clone\leopard_0015.jpeg,leopard
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset_clone\leopard_0016.jpeg,dataset_clone\leopard_0016.jpeg,leopard
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset_clone\leopard_0017.jpeg,dataset_clone\leopard_0017.jpeg,leopard
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset_clone\leopard_0018.jpeg,dataset_clone\leopard_0018.jpeg,leopard
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset_clone\leopard_0019.jpeg,dataset_clone\leopard_0019.jpeg,leopard
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset_clone\leopard_0020.jpeg,dataset_clone\leopard_0020.jpeg,leopard
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset_clone\leopard_0021.jpeg,dataset_clone\leopard_0021.jpeg,leopard
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset_clone\leopard_0022.jpeg,dataset_clone\leopard_0022.jpeg,leopard
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset_clone\leopard_0023.jpeg,dataset_clone\leopard_0023.jpeg,leopard
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset_clone\leopard_0024.jpeg,dataset_clone\leopard_0024.jpeg,leopard
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset_clone\leopard_0025.jpeg,dataset_clone\leopard_0025.jpeg,leopard
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset_clone\leopard_0026.jpeg,dataset_clone\leopard_0026.jpeg,leopard
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset_clone\leopard_0027.jpeg,dataset_clone\leopard_0027.jpeg,leopard
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset_clone\leopard_0028.jpeg,dataset_clone\leopard_0028.jpeg,leopard
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset_clone\leopard_0029.jpeg,dataset_clone\leopard_0029.jpeg,leopard
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset_clone\leopard_0030.jpeg,dataset_clone\leopard_0030.jpeg,leopard
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset_clone\leopard_0031.jpeg,dataset_clone\leopard_0031.jpeg,leopard
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset_clone\leopard_0032.jpeg,dataset_clone\leopard_0032.jpeg,leopard
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset_clone\leopard_0033.jpeg,dataset_clone\leopard_0033.jpeg,leopard
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset_clone\leopard_0034.jpeg,dataset_clone\leopard_0034.jpeg,leopard
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset_clone\leopard_0035.jpeg,dataset_clone\leopard_0035.jpeg,leopard
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset_clone\leopard_0036.jpeg,dataset_clone\leopard_0036.jpeg,leopard
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset_clone\leopard_0037.jpeg,dataset_clone\leopard_0037.jpeg,leopard
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset_clone\leopard_0038.jpeg,dataset_clone\leopard_0038.jpeg,leopard
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset_clone\leopard_0039.jpeg,dataset_clone\leopard_0039.jpeg,leopard
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset_clone\leopard_0040.jpeg,dataset_clone\leopard_0040.jpeg,leopard
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset_clone\leopard_0041.jpeg,dataset_clone\leopard_0041.jpeg,leopard
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset_clone\leopard_0042.jpeg,dataset_clone\leopard_0042.jpeg,leopard
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset_clone\leopard_0043.jpeg,dataset_clone\leopard_0043.jpeg,leopard
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset_clone\leopard_0044.jpeg,dataset_clone\leopard_0044.jpeg,leopard
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset_clone\leopard_0045.jpeg,dataset_clone\leopard_0045.jpeg,leopard
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset_clone\leopard_0046.jpeg,dataset_clone\leopard_0046.jpeg,leopard
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset_clone\leopard_0047.jpeg,dataset_clone\leopard_0047.jpeg,leopard
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset_clone\leopard_0048.jpeg,dataset_clone\leopard_0048.jpeg,leopard
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset_clone\leopard_0049.jpeg,dataset_clone\leopard_0049.jpeg,leopard
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset_clone\leopard_0050.jpeg,dataset_clone\leopard_0050.jpeg,leopard
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset_clone\leopard_0051.jpeg,dataset_clone\leopard_0051.jpeg,leopard
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset_clone\leopard_0052.jpeg,dataset_clone\leopard_0052.jpeg,leopard
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset_clone\leopard_0053.jpeg,dataset_clone\leopard_0053.jpeg,leopard
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset_clone\leopard_0054.jpeg,dataset_clone\leopard_0054.jpeg,leopard
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset_clone\leopard_0055.jpeg,dataset_clone\leopard_0055.jpeg,leopard
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset_clone\leopard_0056.jpeg,dataset_clone\leopard_0056.jpeg,leopard
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset_clone\leopard_0057.jpeg,dataset_clone\leopard_0057.jpeg,leopard
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset_clone\leopard_0058.jpeg,dataset_clone\leopard_0058.jpeg,leopard
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset_clone\leopard_0059.jpeg,dataset_clone\leopard_0059.jpeg,leopard
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset_clone\leopard_0060.jpeg,dataset_clone\leopard_0060.jpeg,leopard
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset_clone\leopard_0061.jpeg,dataset_clone\leopard_0061.jpeg,leopard
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset_clone\leopard_0062.jpeg,dataset_clone\leopard_0062.jpeg,leopard
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset_clone\leopard_0063.jpeg,dataset_clone\leopard_0063.jpeg,leopard
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset_clone\leopard_0064.jpeg,dataset_clone\leopard_0064.jpeg,leopard
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset_clone\leopard_0065.jpeg,dataset_clone\leopard_0065.jpeg,leopard
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset_clone\leopard_0066.jpeg,dataset_clone\leopard_0066.jpeg,leopard
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset_clone\leopard_0067.jpeg,dataset_clone\leopard_0067.jpeg,leopard
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset_clone\leopard_0068.jpeg,dataset_clone\leopard_0068.jpeg,leopard
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset_clone\leopard_0069.jpeg,dataset_clone\leopard_0069.jpeg,leopard
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset_clone\leopard_0070.jpeg,dataset_clone\leopard_0070.jpeg,leopard
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset_clone\leopard_0071.jpeg,dataset_clone\leopard_0071.jpeg,leopard
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset_clone\leopard_0072.jpeg,dataset_clone\leopard_0072.jpeg,leopard
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset_clone\leopard_0073.jpeg,dataset_clone\leopard_0073.jpeg,leopard
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset_clone\leopard_0074.jpeg,dataset_clone\leopard_0074.jpeg,leopard
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset_clone\leopard_0075.jpeg,dataset_clone\leopard_0075.jpeg,leopard
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset_clone\leopard_0076.jpeg,dataset_clone\leopard_0076.jpeg,leopard
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset_clone\leopard_0077.jpeg,dataset_clone\leopard_0077.jpeg,leopard
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset_clone\leopard_0078.jpeg,dataset_clone\leopard_0078.jpeg,leopard
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset_clone\leopard_0079.jpeg,dataset_clone\leopard_0079.jpeg,leopard
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset_clone\leopard_0080.jpeg,dataset_clone\leopard_0080.jpeg,leopard
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset_clone\leopard_0081.jpeg,dataset_clone\leopard_0081.jpeg,leopard
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset_clone\leopard_0082.jpeg,dataset_clone\leopard_0082.jpeg,leopard
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset_clone\leopard_0083.jpeg,dataset_clone\leopard_0083.jpeg,leopard
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset_clone\leopard_0084.jpeg,dataset_clone\leopard_0084.jpeg,leopard
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset_clone\leopard_0085.jpeg,dataset_clone\leopard_0085.jpeg,leopard
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset_clone\leopard_0086.jpeg,dataset_clone\leopard_0086.jpeg,leopard
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset_clone\leopard_0087.jpeg,dataset_clone\leopard_0087.jpeg,leopard
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset_clone\leopard_0088.jpeg,dataset_clone\leopard_0088.jpeg,leopard
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset_clone\leopard_0089.jpeg,dataset_clone\leopard_0089.jpeg,leopard
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset_clone\leopard_0090.jpeg,dataset_clone\leopard_0090.jpeg,leopard
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset_clone\leopard_0091.jpeg,dataset_clone\leopard_0091.jpeg,leopard
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset_clone\leopard_0092.jpeg,dataset_clone\leopard_0092.jpeg,leopard
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset_clone\leopard_0093.jpeg,dataset_clone\leopard_0093.jpeg,leopard
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset_clone\leopard_0094.jpeg,dataset_clone\leopard_0094.jpeg,leopard
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset_clone\leopard_0095.jpeg,dataset_clone\leopard_0095.jpeg,leopard
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset_clone\leopard_0096.jpeg,dataset_clone\leopard_0096.jpeg,leopard
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset_clone\leopard_0097.jpeg,dataset_clone\leopard_0097.jpeg,leopard
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset_clone\leopard_0098.jpeg,dataset_clone\leopard_0098.jpeg,leopard
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset_clone\leopard_0099.jpeg,dataset_clone\leopard_0099.jpeg,leopard
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset_clone\leopard_0100.jpeg,dataset_clone\leopard_0100.jpeg,leopard
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset_clone\leopard_0101.jpeg,dataset_clone\leopard_0101.jpeg,leopard
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset_clone\leopard_0102.jpeg,dataset_clone\leopard_0102.jpeg,leopard
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset_clone\leopard_0103.jpeg,dataset_clone\leopard_0103.jpeg,leopard
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset_clone\leopard_0104.jpeg,dataset_clone\leopard_0104.jpeg,leopard
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset_clone\leopard_0105.jpeg,dataset_clone\leopard_0105.jpeg,leopard
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset_clone\leopard_0106.jpeg,dataset_clone\leopard_0106.jpeg,leopard
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset_clone\leopard_0107.jpeg,dataset_clone\leopard_0107.jpeg,leopard
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset_clone\leopard_0108.jpeg,dataset_clone\leopard_0108.jpeg,leopard
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset_clone\leopard_0109.jpeg,dataset_clone\leopard_0109.jpeg,leopard
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset_clone\leopard_0110.jpeg,dataset_clone\leopard_0110.jpeg,leopard
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset_clone\leopard_0111.jpeg,dataset_clone\leopard_0111.jpeg,leopard
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset_clone\leopard_0112.jpeg,dataset_clone\leopard_0112.jpeg,leopard
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset_clone\leopard_0113.jpeg,dataset_clone\leopard_0113.jpeg,leopard
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset_clone\leopard_0114.jpeg,dataset_clone\leopard_0114.jpeg,leopard
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset_clone\leopard_0115.jpeg,dataset_clone\leopard_0115.jpeg,leopard
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset_clone\leopard_0116.jpeg,dataset_clone\leopard_0116.jpeg,leopard
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset_clone\leopard_0117.jpeg,dataset_clone\leopard_0117.jpeg,leopard
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset_clone\leopard_0118.jpeg,dataset_clone\leopard_0118.jpeg,leopard
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset_clone\leopard_0119.jpeg,dataset_clone\leopard_0119.jpeg,leopard
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset_clone\leopard_0120.jpeg,dataset_clone\leopard_0120.jpeg,leopard
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset_clone\leopard_0121.jpeg,dataset_clone\leopard_0121.jpeg,leopard
