absolute_path,relative_path,class_label
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset_copy_2\07720.jpeg,dataset_copy_2\07720.jpeg,leopard
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset_copy_2\09079.jpeg,dataset_copy_2\09079.jpeg,leopard
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset_copy_2\09034.jpeg,dataset_copy_2\09034.jpeg,leopard
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset_copy_2\00151.jpeg,dataset_copy_2\00151.jpeg,leopard
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset_copy_2\07644.jpeg,dataset_copy_2\07644.jpeg,leopard
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset_copy_2\00330.jpeg,dataset_copy_2\00330.jpeg,leopard
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset_copy_2\06576.jpeg,dataset_copy_2\06576.jpeg,leopard
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset_copy_2\09806.jpeg,dataset_copy_2\09806.jpeg,leopard
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset_copy_2\03777.jpeg,dataset_copy_2\03777.jpeg,leopard
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset_copy_2\02250.jpeg,dataset_copy_2\02250.jpeg,leopard
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset_copy_2\09596.jpeg,dataset_copy_2\09596.jpeg,leopard
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset_copy_2\04296.jpeg,dataset_copy_2\04296.jpeg,leopard
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset_copy_2\09887.jpeg,dataset_copy_2\09887.jpeg,leopard
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset_copy_2\08071.jpeg,dataset_copy_2\08071.jpeg,leopard
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset_copy_2\09705.jpeg,dataset_copy_2\09705.jpeg,leopard
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset_copy_2\02535.jpeg,dataset_copy_2\02535.jpeg,leopard
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset_copy_2\00398.jpeg,dataset_copy_2\00398.jpeg,leopard
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset_copy_2\08837.jpeg,dataset_copy_2\08837.jpeg,leopard
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset_copy_2\02435.jpeg,dataset_copy_2\02435.jpeg,leopard
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset_copy_2\04595.jpeg,dataset_copy_2\04595.jpeg,leopard
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset_copy_2\04842.jpeg,dataset_copy_2\04842.jpeg,leopard
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset_copy_2\03128.jpeg,dataset_copy_2\03128.jpeg,leopard
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset_copy_2\08187.jpeg,dataset_copy_2\08187.jpeg,leopard
C:\Users\Радик\Desktop\appl_prog_lab_1\dataset_copy_2\02075.jpeg,dataset_copy_2\02075.jpeg,leopard
